ALDE,VVD,People´s party forfreedom and democracy,VVD,The Hague, Netherlands
ALDE,D66,Democrats 66,D66,The Hague, Netherlands
ALDE,PNL,National liberal party,pnl_ro,Bucharest, Romania
ALDE,S,Peoples Party Movement for a Democratic,NO,Bratislava, Slovak Republic
ALDE,LDS,Liberal democracy of Slovenia,ldsstranka,Ljubljana, Slovenia
ALDE,CDC,Democratic convergence of Catalonia,ConvergenciaCAT,Barcelona, Spain
ALDE,PNV-EAJ,Basque national party,EAJ__PNV,Bilbao, Spain
ALDE,Folkpartliet liberalerna,Liberal people´s party,folkpartiet,Stockholm, Sweden
ALDE,Centerpartiet,Centre party,Centerpartiet,Stockholm, Sweden
ALDE,Liberal democrats,Liberal democrats,LibDems,London, UK
ALDE,ALDE,Alliance of liberals and democrats of Europe,aldeparty,
Greens,Die Grünen,The greens,Gruene_Austria,Vienna, Austria
Greens,Ecolo,Ecolo,Ecolo,Namur, Belgium
Greens,Groen,Greens,NO,Anderlecht, Belgium
Greens,NVA,New flemish alliance,de_NVA,Brussels, Belgium
Greens,SF,Socialists People´s party,sfpolitik,Copenhagen, Denmark
Greens,De Gröna,Green league,vihreat,Helsinki, Finland
Greens,PNC,Party of the corsican nation,NO,Bastia, France
Greens,Die Grünen,The greens,Die_Gruenen,Berlin, Germany
Greens,Oikologoi prasinoi,Ecologist greens,Ecogreens,Athens, Greece
Greens,Federazione dei Verdi,Federation of the greens,verditalia,Rome, Italy
Greens,Dei gréng,The greens,deigreng,Luxembourg, Luxembourg
Greens,Equo,Equo,equo,Madrid, Spain
Greens,ERC,Republican left of Catalonia,Esquerra_ERC,Barcelona, Spain
Greens,ICV,Initiative for Catalonia / Greens,iniciativa,Barcelona, Spain
Greens,Eusko Alkartasuna,Basque Solidarity,ealkartasuna,San Sebastian, Spain
Greens,BNG,Galician Nationalist Block,obloque,Santiago de Compostela, Spain
Greens,Miljöpartiet de Gröna,Green party,miljopartiet,Stockholm, Sweden
Greens,Piratpartiet,Pirate party,piratpartiet,Stockholm, Sweden
Greens,Green party of England and Wales,Green party of England and Wales,TheGreenParty,London, UK
Greens,Scottish National Party,Scottish National Party,theSNP,Edinburgh, Scotland
Greens,Plaid Cymru,The party of Wales,Plaid_Cymru,Cardiff, Wales
Greens,Greens,The Greens / European Free,europeangreens,
EPP,ÖVP,People ´s party of Austria,oevp,Vienna, Austria
EPP,,Christian democratic flemish,cdenv,Brussels, Belgium
EPP,CDH,Humanist democratic centre,lecdh,Brussels, Belgium
EPP,CSP,Christian social party,NO,Eupen, Belgium
EPP,GERB,Citizens for european developement,NO,Sofia, Bulgaria
EPP,UDF,Union of democratic forces,NO,Sofia, Bulgaria
EPP,DSB,Democrats for a strong Bulgaria / Demokrati za silna Bălgarija,NO,Sofia, Bulgaria
EPP,HDZ,Croatian democratic union / Hrvatska demokratska zajednica,HDZ_HR,Zagreb, Croatia
EPP,DISY,Democratic Rally,DISY,Nicosia, Cyprus
EPP,KDU-CSL,Christian democratic union,kducsl,Prague, Czech Republic
EPP,TOP 09,TOP 09,TOP09cz,Prague, Czech Republic
EPP,Konservative,Conservative party,KonservativeDK,Copenhagen, Denmark
EPP,Isamaa ja res publica liit,Pro patria and Res publica,Erakond,Tallinn, Estonia
EPP,Kokoomus,National coalition party,kokoomus,Helsinki, Finland
EPP,Kristillisdemokraatit,Christian democrats,KDpuolue,Helsinki, Finland
EPP,Union pour un Mouvement Populaire,Union for a popular movement,ump,Paris, France
EPP,UDI,Union of democrats and independients,UDI_off,Paris, France
EPP,CDU,Christian democratic union,CDU,Berlin, Germany
EPP,CSU,Christian social union,CSU,Munich, Germany
EPP,Néa Dimokratia,New democracy,neadimokratia,Athens, Greece
EPP,Fidesz,Hungarian civic alliance,Fideszmpsz,Budapest, Hungary
EPP,KDNP,Christian democratic people´s party,kdnp,Budapest, Hungary
EPP,Forza Italia,Forward Italy,forza_italia,Rome, Italy
EPP,Nuovo centro destra,New centre-right,NuoCentrodestra,Rome, Italy
EPP,Casini-UDC,Union of Centre and Christian democrats,udctw,Rome, Italy
EPP,Fratelli d´Italia,Brothers of Italy,FratellidItaIia,Rome, Italy
EPP,UDEUR popolari,Union of democrats for Europe,NO,Rome, Italy
EPP,Südtiroler Volkspartei,South Tyrolean people´s party,SVP_Suedtiro,Bolzano, Italy
EPP,Futuro e Libertà,Future and freedom,futuroeliberta,Rome, Italy
EPP,Popolari per lItalia,Populars for Italy,ItaliaProgetto,Rome, Italy
EPP,Vienotíba,Unity,NO,Riga, Latvia
EPP,TS,Homeland union,tslkd,Vilnius, Lithuania
EPP,CSV,Christian social people´s party,NO,Luxembourg, Luxembourg
EPP,Nationalist party,Nationalist party,PNmalta,Valletta, Malta
EPP,CDA,Christian democratic appeal,cdavandaag,The Hague, Netherlands
EPP,Platforma Obywatelska,Civic plataform ,Platforma_org,Warsaw, Poland
EPP,PSL,Polish People´s party,LudowcyPSL,Warsaw, Poland
EPP,PSD,Social democratic party,ppdpsd,Lisbon, Portugal
EPP,CDS,Democratic and social centre,CDSPP,Lisbon, Portugal
EPP,Partidul Democrat-Liberal,Democratic Liberal party,NO,Bucharest, Romania
EPP,RMDSz,Democratic Union of Hungarians in Romania,RMDSZ_UDMR,Bucharest, Romania
EPP,SDKÚ,Slovak Democratic and Christian Union,sdkuds,Bratislava, Slovak Republic
EPP,KDH,Christian democrat movement,KDHsk,Bratislava, Slovak Republic
EPP,MK,Party of the Hungarian community,NO,Bratislava, Slovak Republic
EPP,SDS,Slovenian democratic party,strankaSDS,Ljubljana, Slovenia
EPP,Nsi,New Slovenia,NovaSlovenija,Ljubljana, Slovenia
