Group in the EP,Original name,Sede
EPP,Südtiroler Volkspartei,"Bolzano, Italy"
EPP,Futuro e Libertà,"Rome, Italy"
EPP,Popolari per l'Italia,"Rome, Italy"
EPP,Vienotíba,"Riga, Latvia"
EPP,TS,"Vilnius, Lithuania"
EPP,CSV,"Luxembourg, Luxembourg"
EPP,Nationalist party,"Valletta, Malta"
EPP,CDA,"The Hague, Netherlands"
EPP,Platforma Obywatelska,"Warsaw, Poland"
EPP,PSL,"Warsaw, Poland"
EPP,PSD,"Lisbon, Portugal"
EPP,CDS,"Lisbon, Portugal"
EPP,Partidul Democrat-Liberal,"Bucharest, Romania"
EPP,RMDSz,"Bucharest, Romania"
EPP,SDKÚ,"Bratislava, Slovak Republic"
EPP,KDH,"Bratislava, Slovak Republic"
EPP,MK,"Bratislava, Slovak Republic"
EPP,SDS,"Ljubljana, Slovenia"
EPP,Nsi,"Ljubljana, Slovenia"
EPP,Partido Popular,"Madrid, Spain"
EPP,Unió democràtica de Catalunya,"Barcelona, Spain"
EPP,Moderata,"Stockholm, Sweden"
EPP,kristdemokraterna,"Stockholm, Sweden"
ECR,LDD,"Gent, Belgium"
ECR,HSP,"Zagreb, Croatia"
ECR,ODS,"Prague, Czech Republic"
ECR,MoMa,"Budapest, Hungary"
ECR,Conservatori e Social Riformatori,"Milan, Italy"
ECR,TB/LNNK,"Riga, Latvia"
ECR,LLRA,"Vilnius, Lithuania"
ECR,ChristenUnie,"Amersfoort, Netherlands"
ECR,PiS,"Warsaw, Poland"
ECR,Polska Razem,"Warsaw, Poland"
ECR,Conservative Party,"London, UK"
ECR,UUP,"Belfast, Northern Ireland"
EFD,PROUD,
EFD,Dansk Folkeparti,"Copenhagen, Denmark"
EFD,Peruss,"Helsinki, Finland"
EFD,Mouvement pour France,"Paris, France"
EFD,LAOS,"Athens, Greece"
EFD,Lega Nord,"Milan, Italy"
EFD,Io amo l'Italia,"Rome, Italy"
EFD,Tvarka ir teisingumas,"Vilnius, Lithuania"
EFD,SGP,"Gouda, Netherlands"
EFD,Solidarna Polska,"Warsaw, Poland"
EFD,SNR,"Bratislava, Slovak Republic"
EFD,UKIP,"Devon, England"
EAF,FPO,"Vienna, Austria"
EAF,Vlaams Belang,"Brussels, Belgium"
EAF,Front National,"Paris, France"
EAF,Bürger in wut,"Berlin, Germany"
EAF,Sverigedemokraterna,"Stockholm, Sweden"
